id,Aisle,Stage,Volume
tomato0,0,stage0,0
tomato1,1,stage1,1
tomato2,2,stage2,2
tomato3,3,stage3,3
tomato4,4,stage4,4
tomato5,5,stage5,5
tomato6,6,stage6,6
tomato7,7,stage7,7
tomato8,8,stage8,8
tomato9,9,stage9,9
tomato10,10,stage10,10
tomato11,11,stage11,11
tomato12,12,stage12,12
tomato13,13,stage13,13
tomato14,14,stage14,14
tomato15,15,stage15,15
tomato16,16,stage16,16
tomato17,17,stage17,17
tomato18,18,stage18,18
tomato19,19,stage19,19
tomato20,20,stage20,20
tomato21,21,stage21,21
tomato22,22,stage22,22
tomato23,23,stage23,23
tomato24,24,stage24,24
tomato25,25,stage25,25
tomato26,26,stage26,26
tomato27,27,stage27,27
tomato28,28,stage28,28
tomato29,29,stage29,29
tomato30,30,stage30,30
tomato31,31,stage31,31
tomato32,32,stage32,32
tomato33,33,stage33,33
tomato34,34,stage34,34
tomato35,35,stage35,35
tomato36,36,stage36,36
tomato37,37,stage37,37
tomato38,38,stage38,38
tomato39,39,stage39,39
tomato40,40,stage40,40
tomato41,41,stage41,41
tomato42,42,stage42,42
tomato43,43,stage43,43
tomato44,44,stage44,44
tomato45,45,stage45,45
tomato46,46,stage46,46
tomato47,47,stage47,47
tomato48,48,stage48,48
tomato49,49,stage49,49
tomato50,50,stage50,50
tomato51,51,stage51,51
tomato52,52,stage52,52
tomato53,53,stage53,53
tomato54,54,stage54,54
tomato55,55,stage55,55
tomato56,56,stage56,56
tomato57,57,stage57,57
tomato58,58,stage58,58
tomato59,59,stage59,59
tomato60,60,stage60,60
tomato61,61,stage61,61
tomato62,62,stage62,62
tomato63,63,stage63,63
tomato64,64,stage64,64
tomato65,65,stage65,65
tomato66,66,stage66,66
tomato67,67,stage67,67
tomato68,68,stage68,68
tomato69,69,stage69,69
tomato70,70,stage70,70
tomato71,71,stage71,71
tomato72,72,stage72,72
tomato73,73,stage73,73
tomato74,74,stage74,74
tomato75,75,stage75,75
tomato76,76,stage76,76
tomato77,77,stage77,77
tomato78,78,stage78,78
tomato79,79,stage79,79
tomato80,80,stage80,80
tomato81,81,stage81,81
tomato82,82,stage82,82
tomato83,83,stage83,83
tomato84,84,stage84,84
tomato85,85,stage85,85
tomato86,86,stage86,86
tomato87,87,stage87,87
tomato88,88,stage88,88
tomato89,89,stage89,89
tomato90,90,stage90,90
tomato91,91,stage91,91
tomato92,92,stage92,92
tomato93,93,stage93,93
tomato94,94,stage94,94
tomato95,95,stage95,95
tomato96,96,stage96,96
tomato97,97,stage97,97
tomato98,98,stage98,98
tomato99,99,stage99,99
tomato100,100,stage100,100
tomato101,101,stage101,101
tomato102,102,stage102,102
tomato103,103,stage103,103
tomato104,104,stage104,104
tomato105,105,stage105,105
tomato106,106,stage106,106
tomato107,107,stage107,107
tomato108,108,stage108,108
tomato109,109,stage109,109
tomato110,110,stage110,110
tomato111,111,stage111,111
tomato112,112,stage112,112
tomato113,113,stage113,113
tomato114,114,stage114,114
tomato115,115,stage115,115
tomato116,116,stage116,116
tomato117,117,stage117,117
tomato118,118,stage118,118
tomato119,119,stage119,119
tomato120,120,stage120,120
tomato121,121,stage121,121
tomato122,122,stage122,122
tomato123,123,stage123,123
tomato124,124,stage124,124
tomato125,125,stage125,125
tomato126,126,stage126,126
tomato127,127,stage127,127
tomato128,128,stage128,128
tomato129,129,stage129,129
tomato130,130,stage130,130
tomato131,131,stage131,131
tomato132,132,stage132,132
tomato133,133,stage133,133
tomato134,134,stage134,134
tomato135,135,stage135,135
tomato136,136,stage136,136
tomato137,137,stage137,137
tomato138,138,stage138,138
tomato139,139,stage139,139
tomato140,140,stage140,140
tomato141,141,stage141,141
tomato142,142,stage142,142
tomato143,143,stage143,143
tomato144,144,stage144,144
tomato145,145,stage145,145
tomato146,146,stage146,146
tomato147,147,stage147,147
tomato148,148,stage148,148
tomato149,149,stage149,149
tomato150,150,stage150,150
tomato151,151,stage151,151
tomato152,152,stage152,152
tomato153,153,stage153,153
tomato154,154,stage154,154
tomato155,155,stage155,155
tomato156,156,stage156,156
tomato157,157,stage157,157
tomato158,158,stage158,158
tomato159,159,stage159,159
tomato160,160,stage160,160
tomato161,161,stage161,161
tomato162,162,stage162,162
tomato163,163,stage163,163
tomato164,164,stage164,164
tomato165,165,stage165,165
tomato166,166,stage166,166
tomato167,167,stage167,167
tomato168,168,stage168,168
tomato169,169,stage169,169
tomato170,170,stage170,170
tomato171,171,stage171,171
tomato172,172,stage172,172
tomato173,173,stage173,173
tomato174,174,stage174,174
tomato175,175,stage175,175
tomato176,176,stage176,176
tomato177,177,stage177,177
tomato178,178,stage178,178
tomato179,179,stage179,179
tomato180,180,stage180,180
tomato181,181,stage181,181
tomato182,182,stage182,182
tomato183,183,stage183,183
tomato184,184,stage184,184
tomato185,185,stage185,185
tomato186,186,stage186,186
tomato187,187,stage187,187
tomato188,188,stage188,188
tomato189,189,stage189,189
tomato190,190,stage190,190
tomato191,191,stage191,191
tomato192,192,stage192,192
tomato193,193,stage193,193
tomato194,194,stage194,194
tomato195,195,stage195,195
tomato196,196,stage196,196
tomato197,197,stage197,197
tomato198,198,stage198,198
tomato199,199,stage199,199
tomato200,200,stage200,200
tomato201,201,stage201,201
tomato202,202,stage202,202
tomato203,203,stage203,203
tomato204,204,stage204,204
tomato205,205,stage205,205
tomato206,206,stage206,206
tomato207,207,stage207,207
tomato208,208,stage208,208
tomato209,209,stage209,209
tomato210,210,stage210,210
tomato211,211,stage211,211
tomato212,212,stage212,212
tomato213,213,stage213,213
tomato214,214,stage214,214
tomato215,215,stage215,215
tomato216,216,stage216,216
tomato217,217,stage217,217
tomato218,218,stage218,218
tomato219,219,stage219,219
tomato220,220,stage220,220
tomato221,221,stage221,221
tomato222,222,stage222,222
tomato223,223,stage223,223
tomato224,224,stage224,224
tomato225,225,stage225,225
tomato226,226,stage226,226
tomato227,227,stage227,227
tomato228,228,stage228,228
tomato229,229,stage229,229
tomato230,230,stage230,230
tomato231,231,stage231,231
tomato232,232,stage232,232
tomato233,233,stage233,233
tomato234,234,stage234,234
tomato235,235,stage235,235
tomato236,236,stage236,236
tomato237,237,stage237,237
tomato238,238,stage238,238
tomato239,239,stage239,239
tomato240,240,stage240,240
tomato241,241,stage241,241
tomato242,242,stage242,242
tomato243,243,stage243,243
tomato244,244,stage244,244
tomato245,245,stage245,245
